,vid_name,channel_name,publishedAt ,views,likes,commentCount,vidID,Playlist_id,Playlist_name
630,"Doja Cat, Tyga - Juicy (Official Video)",dojacatVEVO,2019-08-15T14:00:08Z,319985624,3068512,103195,YIALlhlyqO4,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
631,Doja Cat - Boss B*tch (from Birds of Prey: The Album) [Official Music Video],Atlantic Records,2020-01-23T20:00:02Z,353344505,4562493,68979,RsW66teC0BQ,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
632,Doja Cat - Like That (Official Video) ft. Gucci Mane,dojacatVEVO,2020-06-25T16:00:14Z,257861989,2830202,78511,XEJLuJyxLDE,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
633,Doja Cat - Rules (Official Video),dojacatVEVO,2019-10-24T14:00:05Z,184874146,2348754,65269,UVadfCxNnoY,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
634,Doja Cat - Bottom Bitch (Official Video),dojacatVEVO,2019-10-03T14:00:11Z,45069095,849263,30942,ik0qg-O_2DM,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
635,Doja Cat - Tia Tamera (Official Video) ft. Rico Nasty,dojacatVEVO,2019-02-21T15:00:03Z,112288205,1624480,50013,C_yI2959DYU,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
636,"Doja Cat - ""Mooo!"" (Official Video)",Doja Cat,2018-08-10T19:07:43Z,124687084,2898080,202076,mXnJqYwebF8,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
637,Doja Cat - Go To Town (Official Video),dojacatVEVO,2018-03-09T08:00:03Z,64363778,739100,29796,TLiGA_wrNp0,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
638,Doja Cat - So High (Explicit Version),dojacatVEVO,2014-03-27T07:00:01Z,80225898,1068162,25846,8LJsMUkxIWY,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
639,LunchMoney Lewis - Make That Cake ft. Doja Cat (Official Video),LunchMoney Lewis,2019-09-06T19:00:13Z,4322453,123938,5557,UI2XVGDEMEk,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
640,Doja Cat - Attention (Official Video),dojacatVEVO,2023-06-16T04:00:11Z,9500106,510370,25323,agXQQDasq0U,PLjL_xsNpjUAPZNZd7ej08NwVJ4VljepUM,Doja Cat - Video Essentials
641,Why Don't We - How Do You Love Somebody (Live Performance) | Vevo,WhyDontWeVEVO,2022-08-31T17:00:20Z,348156,17531,773,ODiOjXooadA,PLE_N_HreN77zoM9mV1GR1Mf5tVYasa46V,Why Don't We - Vevo Live
642,Why Don't We - 8 Letters (Live Performance) | Vevo,WhyDontWeVEVO,2022-08-31T17:00:33Z,581361,31728,1144,kh_-Eu1cYMA,PLE_N_HreN77zoM9mV1GR1Mf5tVYasa46V,Why Don't We - Vevo Live
